Date,AAPL,MSFT,JPM
2016-04-01,24.986387252807617,46.43402099609375,49.179473876953125
2016-04-04,25.24309539794922,46.25430679321289,49.05558395385742
2016-04-05,24.945499420166016,45.597999572753906,48.28563690185547
2016-04-06,25.206748962402344,45.94959259033203,48.781219482421875
2016-04-07,24.656991958618164,44.785423278808594,48.197120666503906
2016-04-08,24.68425178527832,45.11358642578125,48.161720275878906
2016-04-11,24.766040802001953,45.47298812866211,48.06437301635742
2016-04-12,25.088619232177734,46.31681823730469,48.36528778076172
2016-04-13,25.45209312438965,48.277931213378906,48.98476791381836
2016-04-14,25.46571922302246,48.90299606323242,48.99361801147461
2016-04-15,24.954587936401367,48.34043502807617,49.250274658203125
2016-04-18,24.416194915771484,48.65296936035156,49.96712112426758
2016-04-19,24.286710739135742,49.473358154296875,49.90517807006836
2016-04-20,24.33667755126953,50.192169189453125,49.197174072265625
2016-04-21,24.07317543029785,49.69213104248047,49.36531448364258
2016-04-22,24.007287979125977,49.981201171875,45.825321197509766
2016-04-25,23.870988845825195,49.69213104248047,46.117374420166016
2016-04-26,23.705156326293945,49.94997024536133,45.52440643310547
2016-04-27,22.22173309326172,50.09060287475586,45.081912994384766
2016-04-28,21.542495727539062,49.69213104248047,44.16151809692383
2016-04-29,21.294883728027344,49.379600524902344,44.134979248046875
2016-05-02,21.27216911315918,49.84058380126953,44.78987503051758
2016-05-03,21.62200927734375,48.87955856323242,44.055320739746094
2016-05-04,21.397111892700195,48.106040954589844,44.134979248046875
2016-05-05,21.310258865356445,47.848201751708984,44.19691848754883
2016-05-06,21.191415786743164,48.12948226928711,44.59517288208008
2016-05-09,21.20741081237793,47.824764251708984,44.31197738647461
2016-05-10,21.351396560668945,48.473262786865234,45.1527214050293
2016-05-11,21.143413543701172,48.29355239868164,45.17926788330078
2016-05-12,20.6474609375,48.26231002807617,45.58637237548828
2016-05-13,20.6885929107666,47.816951751708984,45.20581817626953
2016-05-16,21.45653533935547,48.17635726928711,45.86956787109375
2016-05-17,21.367401123046875,48.17635726928711,45.01401901245117
2016-05-18,21.611949920654297,50.03590774536133,45.28139877319336
2016-05-19,21.529672622680664,49.52806091308594,44.84471130371094
2016-05-20,21.76279067993164,49.621803283691406,45.112060546875
2016-05-23,22.039342880249023,49.582740783691406,44.58625411987305
2016-05-24,22.375316619873047,50.426578521728516,45.97650909423828
2016-05-25,22.7684326171875,51.192256927490234,46.44884490966797
2016-05-26,22.948984146118164,50.80941390991211,46.243865966796875
2016-05-27,22.935270309448242,51.1219367980957,46.6270866394043
2016-05-31,22.823278427124023,50.99694061279297,47.233089447021484
2016-06-01,22.50330352783203,51.325077056884766,47.09941482543945
2016-06-02,22.33417510986328,51.418846130371094,46.76966857910156
2016-06-03,22.3798885345459,50.504703521728516,46.154762268066406
2016-06-06,22.542158126831055,51.00475311279297,46.457763671875
2016-06-07,22.633577346801758,50.832862854003906,46.4310188293457
